workspaceId,timestamp,clusterId,clusterName,clusterNodeType,clusterOwnerUserId,clusterCustomTags,sku,dbus,machineHours
2615207362795523,2024-01-12T12:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.02339955555555556,0.05849888888888889
2615207362795523,2024-01-12T12:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.043866875,0.05848916666666667
2615207362795523,2024-01-12T13:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.26527833333333334,0.6631958333333333
2615207362795523,2024-01-12T13:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.4974733333333333,0.6632977777777778
2615207362795523,2024-01-12T14:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.026099333333333335,0.06524833333333334
2615207362795523,2024-01-12T14:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.04901020833333333,0.06534694444444444
2615207362795523,2024-01-12T16:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.16879355555555556,0.4219838888888889
2615207362795523,2024-01-12T16:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.31648,0.4219733333333333
2615207362795523,2024-01-12T17:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.4,1.0
2615207362795523,2024-01-12T17:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.75,1.0
2615207362795523,2024-01-12T18:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.34274411111111114,0.8568602777777777
2615207362795523,2024-01-12T18:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.642763125,0.8570175
2615207362795523,2024-01-12T19:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.15102322222222223,0.37755805555555555
2615207362795523,2024-01-12T19:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.28315958333333335,0.37754611111111114
2615207362795523,2024-01-12T20:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.15933533333333336,0.39833833333333335
2615207362795523,2024-01-12T20:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.2988383333333333,0.3984511111111111
2615207362795523,2024-01-15T13:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.18470588888888892,0.4617647222222222
2615207362795523,2024-01-15T13:59:59.000Z,0224-171710-mucus123,ds,m4.xlarge,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.34631208333333335,0.46174944444444443
2615207362795523,2024-01-15T14:59:59.000Z,0224-171710-mucus123,ds,m4.large,7004042620202697,{},STANDARD_ALL_PURPOSE_COMPUTE,0.4,1.0
